Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop
0,75,50,100,6.5,1000,20,11
0,80,50,100,6.5,1000,20,11
0,85,50,100,6.5,1000,20,11
0,90,50,100,6.5,1000,20,11
0,95,50,100,6.5,1000,20,11
0,100,50,100,6.5,1000,20,11
0,75,55,105,7.0,1100,25,11
0,80,55,105,7.0,1100,25,11
0,85,55,105,7.0,1100,25,11
0,90,55,105,7.0,1100,25,11
0,95,55,105,7.0,1100,25,11
0,100,55,105,7.0,1100,25,11
0,75,60,110,7.5,1200,30,11
0,80,60,110,7.5,1200,30,11
0,85,60,110,7.5,1200,30,11
0,90,60,110,7.5,1200,30,11
0,95,60,110,7.5,1200,30,11
0,100,60,110,7.5,1200,30,11
0,75,50,115,6.5,1300,35,11
0,80,50,115,6.5,1300,35,11
0,85,50,115,6.5,1300,35,11
0,90,50,115,6.5,1300,35,11
0,95,50,115,6.5,1300,35,11
0,100,50,115,6.5,1300,35,11
0,75,55,100,7.0,1400,20,11
0,80,55,100,7.0,1400,20,11
0,85,55,100,7.0,1400,20,11
0,90,55,100,7.0,1400,20,11
0,95,55,100,7.0,1400,20,11
0,100,55,100,7.0,1400,20,11
0,75,60,105,7.5,1500,25,11
0,80,60,105,7.5,1500,25,11
0,85,60,105,7.5,1500,25,11
0,90,60,105,7.5,1500,25,11
0,95,60,105,7.5,1500,25,11
0,100,60,105,7.5,1500,25,11
0,75,50,110,6.5,1000,30,11
0,80,50,110,6.5,1000,30,11
0,85,50,110,6.5,1000,30,11
0,90,50,110,6.5,1000,30,11
0,95,50,110,6.5,1000,30,11
0,100,50,110,6.5,1000,30,11
0,75,55,115,7.0,1100,35,11
0,80,55,115,7.0,1100,35,11
0,85,55,115,7.0,1100,35,11
0,90,55,115,7.0,1100,35,11
0,95,55,115,7.0,1100,35,11
0,100,55,115,7.0,1100,35,11
0,75,60,100,7.5,1200,20,11
0,80,60,100,7.5,1200,20,11
0,85,60,100,7.5,1200,20,11
0,90,60,100,7.5,1200,20,11
0,95,60,100,7.5,1200,20,11
0,100,60,100,7.5,1200,20,11
0,75,50,105,6.5,1300,25,11
0,80,50,105,6.5,1300,25,11
0,85,50,105,6.5,1300,25,11
0,90,50,105,6.5,1300,25,11
0,95,50,105,6.5,1300,25,11
0,100,50,105,6.5,1300,25,11
0,75,55,110,7.0,1400,30,11
0,80,55,110,7.0,1400,30,11
0,85,55,110,7.0,1400,30,11
0,90,55,110,7.0,1400,30,11
0,95,55,110,7.0,1400,30,11
0,100,55,110,7.0,1400,30,11
0,75,60,115,7.5,1500,35,11
0,80,60,115,7.5,1500,35,11
0,85,60,115,7.5,1500,35,11
0,90,60,115,7.5,1500,35,11
0,95,60,115,7.5,1500,35,11
0,100,60,115,7.5,1500,35,11
0,20,25,25,6.5,600,25,5
0,25,25,25,6.5,600,25,5
0,30,25,25,6.5,600,25,5
0,35,25,25,6.5,600,25,5
0,40,25,25,6.5,600,25,5
0,20,30,30,7.0,700,30,5
0,25,30,30,7.0,700,30,5
0,30,30,30,7.0,700,30,5
0,35,30,30,7.0,700,30,5
0,40,30,30,7.0,700,30,5
0,20,35,35,7.5,800,25,5
0,25,35,35,7.5,800,25,5
0,30,35,35,7.5,800,25,5
0,35,35,35,7.5,800,25,5
0,40,35,35,7.5,800,25,5
0,20,25,40,6.5,600,30,5
